# layer class subject_idx subject_id channel_idx channel_name value
conv1 Left 0 13 0 Fp1 2.00214492e+04
conv1 Left 1 50 0 Fp1 3.12025977e+04
conv1 Left 2 12 0 Fp1 2.04512734e+04
conv1 Left 3 9 0 Fp1 1.38436396e+04
conv1 Left 4 40 0 Fp1 2.61450801e+04
conv1 Left 5 7 0 Fp1 2.74793164e+04
conv1 Left 6 41 0 Fp1 2.43579004e+04
conv1 Left 7 49 0 Fp1 2.61023047e+04
conv1 Left 8 3 0 Fp1 3.26910469e+04
conv1 Left 9 8 0 Fp1 1.95340371e+04

conv1 Left 0 13 1 Fpz 2.00547168e+04
conv1 Left 1 50 1 Fpz 3.12148633e+04
conv1 Left 2 12 1 Fpz 2.04317891e+04
conv1 Left 3 9 1 Fpz 1.39197471e+04
conv1 Left 4 40 1 Fpz 2.60723652e+04
conv1 Left 5 7 1 Fpz 2.74756855e+04
conv1 Left 6 41 1 Fpz 2.42604121e+04
conv1 Left 7 49 1 Fpz 2.60637168e+04
conv1 Left 8 3 1 Fpz 3.27848438e+04
conv1 Left 9 8 1 Fpz 1.95501055e+04

conv1 Left 0 13 2 Fp2 2.00152637e+04
conv1 Left 1 50 2 Fp2 3.11640938e+04
conv1 Left 2 12 2 Fp2 2.04353418e+04
conv1 Left 3 9 2 Fp2 1.38880156e+04
conv1 Left 4 40 2 Fp2 2.61783359e+04
conv1 Left 5 7 2 Fp2 2.75215527e+04
conv1 Left 6 41 2 Fp2 2.43499766e+04
conv1 Left 7 49 2 Fp2 2.60921895e+04
conv1 Left 8 3 2 Fp2 3.26796055e+04
conv1 Left 9 8 2 Fp2 1.95196758e+04

conv1 Left 0 13 3 AF7 2.03732715e+04
conv1 Left 1 50 3 AF7 3.15883008e+04
conv1 Left 2 12 3 AF7 2.07406172e+04
conv1 Left 3 9 3 AF7 1.41813613e+04
conv1 Left 4 40 3 AF7 2.65914551e+04
conv1 Left 5 7 3 AF7 2.78711152e+04
conv1 Left 6 41 3 AF7 2.47513008e+04
conv1 Left 7 49 3 AF7 2.65555762e+04
conv1 Left 8 3 3 AF7 3.31535352e+04
conv1 Left 9 8 3 AF7 1.98536035e+04

conv1 Left 0 13 4 AF3 2.03998223e+04
conv1 Left 1 50 4 AF3 3.18264551e+04
conv1 Left 2 12 4 AF3 2.07440430e+04
conv1 Left 3 9 4 AF3 1.42652686e+04
conv1 Left 4 40 4 AF3 2.67940332e+04
conv1 Left 5 7 4 AF3 2.79125586e+04
conv1 Left 6 41 4 AF3 2.46264277e+04
conv1 Left 7 49 4 AF3 2.65218242e+04
conv1 Left 8 3 4 AF3 3.33435156e+04
conv1 Left 9 8 4 AF3 1.98223438e+04

conv1 Left 0 13 5 AFz 2.07650059e+04
conv1 Left 1 50 5 AFz 3.21558398e+04
conv1 Left 2 12 5 AFz 2.12211074e+04
conv1 Left 3 9 5 AFz 1.45897881e+04
conv1 Left 4 40 5 AFz 2.72488047e+04
conv1 Left 5 7 5 AFz 2.83706074e+04
conv1 Left 6 41 5 AFz 2.51443145e+04
conv1 Left 7 49 5 AFz 2.70832559e+04
conv1 Left 8 3 5 AFz 3.38837109e+04
conv1 Left 9 8 5 AFz 2.01704277e+04

conv1 Left 0 13 6 AF4 2.03112500e+04
conv1 Left 1 50 6 AF4 3.15337871e+04
conv1 Left 2 12 6 AF4 2.06720430e+04
conv1 Left 3 9 6 AF4 1.41105127e+04
conv1 Left 4 40 6 AF4 2.66006289e+04
conv1 Left 5 7 6 AF4 2.77687402e+04
conv1 Left 6 41 6 AF4 2.45271660e+04
