# layer class subject_idx subject_id channel_idx channel_name value
conv2 Class3 0 13 0 Fp1 2.88010547e+04
conv2 Class3 1 50 0 Fp1 1.31927861e+04
conv2 Class3 2 12 0 Fp1 2.52490586e+04
conv2 Class3 3 9 0 Fp1 2.55968477e+04
conv2 Class3 4 40 0 Fp1 4.28115391e+04
conv2 Class3 5 7 0 Fp1 3.67433203e+04
conv2 Class3 6 41 0 Fp1 2.44613633e+04
conv2 Class3 7 49 0 Fp1 1.13115693e+04
conv2 Class3 8 3 0 Fp1 2.90997090e+04
conv2 Class3 9 8 0 Fp1 2.63840527e+04

conv2 Class3 0 13 1 Fpz 2.86614668e+04
conv2 Class3 1 50 1 Fpz 1.31396943e+04
conv2 Class3 2 12 1 Fpz 2.52960273e+04
conv2 Class3 3 9 1 Fpz 2.55216211e+04
conv2 Class3 4 40 1 Fpz 4.25088281e+04
conv2 Class3 5 7 1 Fpz 3.66060391e+04
conv2 Class3 6 41 1 Fpz 2.43953945e+04
conv2 Class3 7 49 1 Fpz 1.12435566e+04
conv2 Class3 8 3 1 Fpz 2.91687930e+04
conv2 Class3 9 8 1 Fpz 2.63082285e+04

conv2 Class3 0 13 2 Fp2 2.86576621e+04
conv2 Class3 1 50 2 Fp2 1.31869932e+04
conv2 Class3 2 12 2 Fp2 2.51706582e+04
conv2 Class3 3 9 2 Fp2 2.56995371e+04
conv2 Class3 4 40 2 Fp2 4.25931914e+04
conv2 Class3 5 7 2 Fp2 3.66886914e+04
conv2 Class3 6 41 2 Fp2 2.44215723e+04
conv2 Class3 7 49 2 Fp2 1.13046279e+04
conv2 Class3 8 3 2 Fp2 2.91410664e+04
conv2 Class3 9 8 2 Fp2 2.64100840e+04

conv2 Class3 0 13 3 AF7 2.94369629e+04
conv2 Class3 1 50 3 AF7 1.35218105e+04
conv2 Class3 2 12 3 AF7 2.56493379e+04
conv2 Class3 3 9 3 AF7 2.61493086e+04
conv2 Class3 4 40 3 AF7 4.41294492e+04
conv2 Class3 5 7 3 AF7 3.74182305e+04
conv2 Class3 6 41 3 AF7 2.49564551e+04
conv2 Class3 7 49 3 AF7 1.16464258e+04
conv2 Class3 8 3 3 AF7 2.95081641e+04
conv2 Class3 9 8 3 AF7 2.67779043e+04

conv2 Class3 0 13 4 AF3 2.94465957e+04
conv2 Class3 1 50 4 AF3 1.34133447e+04
conv2 Class3 2 12 4 AF3 2.54966914e+04
conv2 Class3 3 9 4 AF3 2.60379512e+04
conv2 Class3 4 40 4 AF3 4.38882695e+04
conv2 Class3 5 7 4 AF3 3.72939336e+04
conv2 Class3 6 41 4 AF3 2.50066113e+04
conv2 Class3 7 49 4 AF3 1.16101084e+04
conv2 Class3 8 3 4 AF3 2.95461035e+04
conv2 Class3 9 8 4 AF3 2.66639551e+04

conv2 Class3 0 13 5 AFz 3.00904141e+04
conv2 Class3 1 50 5 AFz 1.36705762e+04
conv2 Class3 2 12 5 AFz 2.59903965e+04
conv2 Class3 3 9 5 AFz 2.67680488e+04
conv2 Class3 4 40 5 AFz 4.45602266e+04
conv2 Class3 5 7 5 AFz 3.80329297e+04
conv2 Class3 6 41 5 AFz 2.55851914e+04
conv2 Class3 7 49 5 AFz 1.17549238e+04
