# layer class subject_idx subject_id channel_idx channel_name value
conv2 Right 0 13 0 Fp1 5.31889453e+04
conv2 Right 1 50 0 Fp1 2.96409121e+04
conv2 Right 2 12 0 Fp1 1.52064307e+04
conv2 Right 3 9 0 Fp1 3.41574258e+04
conv2 Right 4 40 0 Fp1 3.92850547e+04
conv2 Right 5 7 0 Fp1 3.98727266e+04
conv2 Right 6 41 0 Fp1 2.37953477e+04
conv2 Right 7 49 0 Fp1 1.11331582e+04
conv2 Right 8 3 0 Fp1 3.05799434e+04
conv2 Right 9 8 0 Fp1 2.78840371e+04

conv2 Right 0 13 1 Fpz 5.31521758e+04
conv2 Right 1 50 1 Fpz 2.96099473e+04
conv2 Right 2 12 1 Fpz 1.52433037e+04
conv2 Right 3 9 1 Fpz 3.42008984e+04
conv2 Right 4 40 1 Fpz 3.91040820e+04
conv2 Right 5 7 1 Fpz 3.97424570e+04
conv2 Right 6 41 1 Fpz 2.37243457e+04
conv2 Right 7 49 1 Fpz 1.10420811e+04
conv2 Right 8 3 1 Fpz 3.06829727e+04
conv2 Right 9 8 1 Fpz 2.77979688e+04

conv2 Right 0 13 2 Fp2 5.31286133e+04
conv2 Right 1 50 2 Fp2 2.97057617e+04
conv2 Right 2 12 2 Fp2 1.52445176e+04
conv2 Right 3 9 2 Fp2 3.40800000e+04
conv2 Right 4 40 2 Fp2 3.91815898e+04
conv2 Right 5 7 2 Fp2 3.98127578e+04
conv2 Right 6 41 2 Fp2 2.36927793e+04
conv2 Right 7 49 2 Fp2 1.11199922e+04
conv2 Right 8 3 2 Fp2 3.05486641e+04
conv2 Right 9 8 2 Fp2 2.78786094e+04

conv2 Right 0 13 3 AF7 5.40711641e+04
conv2 Right 1 50 3 AF7 3.04567207e+04
conv2 Right 2 12 3 AF7 1.54430391e+04
conv2 Right 3 9 3 AF7 3.43828359e+04
conv2 Right 4 40 3 AF7 4.03916328e+04
conv2 Right 5 7 3 AF7 4.07043242e+04
conv2 Right 6 41 3 AF7 2.44670996e+04
conv2 Right 7 49 3 AF7 1.14829971e+04
conv2 Right 8 3 3 AF7 3.06929785e+04
conv2 Right 9 8 3 AF7 2.83708262e+04

conv2 Right 0 13 4 AF3 5.41958398e+04
conv2 Right 1 50 4 AF3 3.03135820e+04
conv2 Right 2 12 4 AF3 1.55026084e+04
conv2 Right 3 9 4 AF3 3.44828477e+04
conv2 Right 4 40 4 AF3 4.02264219e+04
conv2 Right 5 7 4 AF3 4.07025703e+04
conv2 Right 6 41 4 AF3 2.44236523e+04
conv2 Right 7 49 4 AF3 1.13977070e+04
conv2 Right 8 3 4 AF3 3.06637344e+04
conv2 Right 9 8 4 AF3 2.83368477e+04

conv2 Right 0 13 5 AFz 5.57564609e+04
conv2 Right 1 50 5 AFz 3.08202246e+04
conv2 Right 2 12 5 AFz 1.57664316e+04
conv2 Right 3 9 5 AFz 3.49958203e+04
conv2 Right 4 40 5 AFz 4.08455703e+04
conv2 Right 5 7 5 AFz 4.15609805e+04
conv2 Right 6 41 5 AFz 2.48926602e+04
conv2 Right 7 49 5 AFz 1.15800430e+04
conv2 Right 8 3 5 AFz 3.11735449e+04
conv2 Right 9 8 5 AFz 2.87819473e+04

conv2 Right 0 13 6 AF4 5.40231211e+04
conv2 Right 1 50 6 AF4 3.03579258e+04
conv2 Right 2 12 6 AF4 1.55474092e+04
conv2 Right 3 9 6 AF4 3.42981914e+04
conv2 Right 4 40 6 AF4 4.01147617e+04
conv2 Right 5 7 6 AF4 4.04952422e+04
conv2 Right 6 41 6 AF4 2.42061465e+04
conv2 Right 7 49 6 AF4 1.13498672e+04
conv2 Right 8 3 6 AF4 3.05241016e+04
conv2 Right 9 8 6 AF4 2.83131582e+04

conv2 Right 0 13 7 AF8 5.38715742e+04
conv2 Right 1 50 7 AF8 3.03656582e+04
conv2 Right 2 12 7 AF8 1.53904824e+04
conv2 Right 3 9 7 AF8 3.43007539e+04
conv2 Right 4 40 7 AF8 4.02455977e+04
conv2 Right 5 7 7 AF8 4.05773203e+04
conv2 Right 6 41 7 AF8 2.41403418e+04
conv2 Right 7 49 7 AF8 1.13195068e+04
conv2 Right 8 3 7 AF8 3.04824492e+04
conv2 Right 9 8 7 AF8 2.84861992e+04

conv2 Right 0 13 8 F7 5.63273594e+04
conv2 Right 1 50 8 F7 3.15871523e+04
conv2 Right 2 12 8 F7 1.58905039e+04
conv2 Right 3 9 8 F7 3.53671758e+04
conv2 Right 4 40 8 F7 4.21705391e+04
conv2 Right 5 7 8 F7 4.24044531e+04
conv2 Right 6 41 8 F7 2.53945371e+04
conv2 Right 7 49 8 F7 1.19476328e+04
conv2 Right 8 3 8 F7 3.11865410e+04
conv2 Right 9 8 8 F7 2.97110078e+04

conv2 Right 0 13 9 F5 5.36032578e+04
conv2 Right 1 50 9 F5 3.00223750e+04
conv2 Right 2 12 9 F5 1.54194707e+04
conv2 Right 3 9 9 F5 3.42222969e+04
conv2 Right 4 40 9 F5 3.98635820e+04
conv2 Right 5 7 9 F5 4.02244336e+04
conv2 Right 6 41 9 F5 2.39157285e+04
conv2 Right 7 49 9 F5 1.14251025e+04
conv2 Right 8 3 9 F5 3.05742969e+04
conv2 Right 9 8 9 F5 2.83519824e+04

conv2 Right 0 13 10 F3 5.43589141e+04
conv2 Right 1 50 10 F3 3.04818066e+04
conv2 Right 2 12 10 F3 1.56492861e+04
conv2 Right 3 9 10 F3 3.46290078e+04
conv2 Right 4 40 10 F3 4.05419180e+04
conv2 Right 5 7 10 F3 4.08670742e+04
conv2 Right 6 41 10 F3 2.44232852e+04
conv2 Right 7 49 10 F3 1.17348408e+04
conv2 Right 8 3 10 F3 3.09043633e+04
