x y val
0 0 -0.475625
0 1 -0.369773
0 2 -0.600000
0 3 -0.164154
0 4 0.086861
0 5 0.174426
0 6 -0.129585
0 7 -0.067443
0 8 0.101188
0 9 0.103646
0 10 0.110421
0 11 0.182615
0 12 -0.032057
0 13 0.014751
0 14 0.189114
0 15 -0.094091
0 16 -0.280583
0 17 -0.046722
0 18 -0.114904
0 19 -0.112979
1 0 -0.076535
1 1 -0.555757
1 2 -0.600000
1 3 -0.228327
1 4 0.123358
1 5 -0.084956
1 6 -0.023448
1 7 -0.132898
1 8 0.000168
1 9 0.102422
1 10 0.170507
1 11 -0.107460
1 12 0.027904
1 13 0.078539
1 14 0.161108
1 15 0.128898
1 16 -0.045241
1 17 0.008908
1 18 -0.191601
1 19 -0.063075
2 0 -0.123157
2 1 -0.600000
2 2 -0.488865
2 3 -0.264850
2 4 0.102348
2 5 -0.019479
2 6 -0.113111
2 7 -0.055708
2 8 0.053753
2 9 0.032727
2 10 0.437185
2 11 -0.028999
2 12 -0.153121
2 13 0.010642
2 14 0.101885
2 15 0.310064
2 16 0.079966
2 17 0.244535
2 18 -0.004943
2 19 -0.091110
3 0 -0.142426
3 1 -0.295613
3 2 -0.480558
3 3 -0.326720
3 4 0.157460
3 5 -0.118985
3 6 0.038539
3 7 0.056306
3 8 0.075620
3 9 0.002392
3 10 0.114218
3 11 0.434889
3 12 -0.090015
3 13 0.006790
3 14 0.246121
3 15 -0.036881
3 16 0.036726
3 17 0.141414
3 18 -0.044860
3 19 -0.046411
4 0 0.041871
4 1 -0.598224
4 2 -0.600000
4 3 -0.169223
4 4 -0.039660
4 5 -0.218514
4 6 0.014834
4 7 -0.100260
4 8 -0.013217
4 9 0.061872
4 10 0.272716
4 11 0.236427
4 12 -0.097007
4 13 0.026364
4 14 0.313220
4 15 0.245946
4 16 -0.085621
4 17 0.168563
4 18 -0.132242
4 19 -0.105310
5 0 0.092868
5 1 -0.480786
5 2 -0.306594
5 3 -0.350926
5 4 -0.159155
5 5 -0.070413
5 6 -0.001871
5 7 -0.088094
5 8 -0.004051
5 9 -0.039731
5 10 0.304571
5 11 0.159063
5 12 -0.134304
5 13 0.110344
5 14 0.104858
5 15 0.209655
5 16 0.180097
5 17 0.241128
5 18 0.100535
5 19 -0.108002
6 0 -0.053320
6 1 -0.362814
6 2 -0.345138
6 3 -0.304552
6 4 -0.026384
6 5 -0.245940
6 6 0.001580
6 7 -0.136128
6 8 -0.024394
6 9 -0.059400
6 10 0.204677
6 11 0.046675
6 12 0.120365
6 13 0.019203
6 14 0.087638
6 15 0.073228
6 16 -0.209325
6 17 0.048104
6 18 0.065310
6 19 -0.154488
7 0 -0.092818
7 1 -0.329258
7 2 -0.502081
7 3 0.047136
7 4 -0.004187
7 5 -0.100668
7 6 0.043879
7 7 -0.341656
7 8 0.100825
7 9 -0.058235
7 10 0.135161
7 11 -0.111616
7 12 -0.241845
7 13 -0.212591
7 14 0.128378
7 15 0.345994
7 16 0.052107
7 17 -0.104017
7 18 0.077521
7 19 -0.028681
8 0 0.163032
8 1 -0.336720
8 2 -0.492301
8 3 0.046497
8 4 0.114726
8 5 -0.089690
8 6 0.016453
8 7 0.012158
8 8 -0.064679
8 9 0.092554
8 10 0.200530
8 11 0.220473
8 12 0.019523
8 13 -0.051318
8 14 0.300310
8 15 0.115631
8 16 -0.200631
8 17 -0.072809
8 18 0.101533
8 19 -0.065652
