method stage stage_index median_change_vs_raw_pct median_change_ci95_low median_change_ci95_high mean_change_vs_raw_pct mean_change_ci95_low mean_change_ci95_high
PCA_15 EEG_original 0 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
PCA_15 Transformer_Xf 1 12.89260781 2.09640171 26.88820611 22.21417190 11.31080788 33.36437622
PCA_15 Temporal_filter_Phi 2 -19.98259127 -28.85843863 5.69591957 6.66032159 -6.85405797 20.91405778
PCA_15 Transfer_Entropy 3 -39.20370093 -50.63455611 -10.00720027 -9.21629811 -23.46620554 5.10917501
PCA_30 EEG_original 0 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
PCA_30 Transformer_Xf 1 7.45586127 -0.53832811 25.15329517 20.47708943 10.81603141 30.58253869
PCA_30 Temporal_filter_Phi 2 -16.09973498 -30.13508582 4.54764756 8.69051038 -4.30634481 22.54339804
PCA_30 Transfer_Entropy 3 -38.35471757 -48.80377581 -10.87323071 -11.97741351 -24.42191770 1.65868033
PCA_60 EEG_original 0 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
PCA_60 Transformer_Xf 1 10.70622985 -6.56988379 18.61556107 17.93560704 8.79379512 27.29000639
PCA_60 Temporal_filter_Phi 2 -14.51739035 -29.96547267 7.82101257 7.97116805 -4.91032685 21.22655959
PCA_60 Transfer_Entropy 3 -36.48908392 -46.48159841 -10.51475376 -15.48704316 -26.98062628 -3.77110943
Cosine_no_PCA_pairwise EEG_original 0 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
Cosine_no_PCA_pairwise Transformer_Xf 1 -4.81704649 -6.41819545 -3.55125004 -7.26267358 -8.76323779 -5.81643527
Cosine_no_PCA_pairwise Temporal_filter_Phi 2 -9.61820731 -13.45360697 -8.01296338 -20.71514194 -24.67628428 -16.75095747
Cosine_no_PCA_pairwise Transfer_Entropy 3 -45.12983324 -59.26528311 -40.12310643 -52.48781212 -57.75493645 -47.37682903
