x,y,val,row_model,col_model
0,0,1,EEGNet,EEGNet
1,0,0.107688,EEGNet,KCS-FCNet
2,0,0.00195895,EEGNet,KREEGNet
3,0,0.501256,EEGNet,DeepConvNet
4,0,0.0300383,EEGNet,ShallowConvNet
5,0,0.109402,EEGNet,TCFusionNet
6,0,0.797756,EEGNet,CSP
7,0,1.37013e-07,EEGNet,EEG-GCIRNet
0,1,0.107688,KCS-FCNet,EEGNet
1,1,1,KCS-FCNet,KCS-FCNet
2,1,0.0887827,KCS-FCNet,KREEGNet
3,1,0.0174926,KCS-FCNet,DeepConvNet
4,1,0.499842,KCS-FCNet,ShallowConvNet
5,1,0.989213,KCS-FCNet,TCFusionNet
6,1,0.0572001,KCS-FCNet,CSP
7,1,5.16302e-05,KCS-FCNet,EEG-GCIRNet
0,2,0.00195895,KREEGNet,EEGNet
1,2,0.0887827,KREEGNet,KCS-FCNet
2,2,1,KREEGNet,KREEGNet
3,2,0.000120648,KREEGNet,DeepConvNet
4,2,0.318585,KREEGNet,ShallowConvNet
5,2,0.0955181,KREEGNet,TCFusionNet
6,2,0.000713249,KREEGNet,CSP
7,2,0.0495893,KREEGNet,EEG-GCIRNet
0,3,0.501256,DeepConvNet,EEGNet
1,3,0.0174926,DeepConvNet,KCS-FCNet
2,3,0.000120648,DeepConvNet,KREEGNet
3,3,1,DeepConvNet,DeepConvNet
4,3,0.00358617,DeepConvNet,ShallowConvNet
5,3,0.0184425,DeepConvNet,TCFusionNet
6,3,0.676438,DeepConvNet,CSP
7,3,5.84442e-10,DeepConvNet,EEG-GCIRNet
0,4,0.0300383,ShallowConvNet,EEGNet
1,4,0.499842,ShallowConvNet,KCS-FCNet
2,4,0.318585,ShallowConvNet,KREEGNet
3,4,0.00358617,ShallowConvNet,DeepConvNet
4,4,1,ShallowConvNet,ShallowConvNet
5,4,0.513849,ShallowConvNet,TCFusionNet
6,4,0.0141091,ShallowConvNet,CSP
7,4,0.00183313,ShallowConvNet,EEG-GCIRNet
0,5,0.109402,TCFusionNet,EEGNet
1,5,0.989213,TCFusionNet,KCS-FCNet
2,5,0.0955181,TCFusionNet,KREEGNet
3,5,0.0184425,TCFusionNet,DeepConvNet
4,5,0.513849,TCFusionNet,ShallowConvNet
5,5,1,TCFusionNet,TCFusionNet
6,5,0.0587984,TCFusionNet,CSP
7,5,7.63566e-05,TCFusionNet,EEG-GCIRNet
0,6,0.797756,CSP,EEGNet
1,6,0.0572001,CSP,KCS-FCNet
2,6,0.000713249,CSP,KREEGNet
3,6,0.676438,CSP,DeepConvNet
4,6,0.0141091,CSP,ShallowConvNet
5,6,0.0587984,CSP,TCFusionNet
6,6,1,CSP,CSP
7,6,1.88007e-08,CSP,EEG-GCIRNet
0,7,1.37013e-07,EEG-GCIRNet,EEGNet
1,7,5.16302e-05,EEG-GCIRNet,KCS-FCNet
2,7,0.0495893,EEG-GCIRNet,KREEGNet
3,7,5.84442e-10,EEG-GCIRNet,DeepConvNet
4,7,0.00183313,EEG-GCIRNet,ShallowConvNet
5,7,7.63566e-05,EEG-GCIRNet,TCFusionNet
6,7,1.88007e-08,EEG-GCIRNet,CSP
7,7,1,EEG-GCIRNet,EEG-GCIRNet
