subject label EEG_original Transformer_Xf Temporal_filter_Phi Transfer_Entropy
v1p 1 0.41258166 0.73207763 0.90767792 0.85318231
v3p 1 0.29602401 0.62049484 0.51849414 0.40850087
v6p 1 0.86489268 0.81628255 0.33992916 0.15028731
v8p 1 1.03981737 0.94492552 0.64901562 0.43473433
v10p 1 0.47240244 0.61871229 0.72264727 0.63733353
v12p 1 0.72438761 0.52210124 0.25065598 0.14136831
v14p 1 0.84311624 0.82921257 0.53967037 0.36139977
v15p 1 0.56804606 0.81008002 0.70518352 0.54548354
v18p 1 0.63609170 0.71715200 0.90839622 0.80725342
v19p 1 0.70904244 0.65949939 0.56720642 0.37911714
v20p 1 0.56179427 0.73558843 0.84606230 0.74769598
v21p 1 0.33788183 0.64182328 0.94659953 0.72336457
v22p 1 0.43050091 0.63344173 0.50819481 0.41409012
v24p 1 0.46787832 0.65194762 0.87972671 0.82437259
v25p 1 0.87385836 0.69518425 0.66961045 0.52073304
v27p 1 0.81960981 0.76869152 0.75234508 0.64307329
v28p 1 0.58973162 0.61817050 0.58215926 0.45301092
v29p 1 0.80510519 0.69717978 0.87098137 0.75753064
v30p 1 0.64146012 0.71350198 0.74725477 0.72821823
v31p 1 0.45084818 0.61974076 0.79534146 0.70938630
v32p 1 0.38060178 0.68042785 0.76192634 0.67956337
v33p 1 0.47448974 0.57999669 0.79671714 0.70660796
v34p 1 0.45003234 0.66105261 0.96016163 0.80187839
v35p 1 0.32832103 0.60467763 0.71375370 0.61290890
v37p 1 0.33963743 0.57268780 0.77566314 0.81092356
v38p 1 0.80224466 0.71606911 0.75271134 0.69140338
v39p 1 0.65263772 0.64483772 0.84073156 0.75002927
v40p 1 0.83949863 0.55754925 0.58920952 0.52892523
v41p 0 0.47777984 0.71943351 0.28598155 0.12798186
v42p 0 2.18075176 0.58865394 0.34492791 0.21766186
v43p 0 0.97060232 0.81448469 0.29257215 0.13220050
v44p 0 0.48723068 0.71275570 0.38540051 0.26112385
v45p 0 0.24736619 0.66872215 0.45070998 0.29445157
v46p 0 0.58759131 0.68667375 0.29285382 0.10986034
v47p 0 0.90428490 0.60515745 0.26992868 0.14656770
v48p 0 1.03146748 0.75905302 0.51120954 0.27169621
v49p 0 0.53218572 0.67923981 0.44836776 0.32800131
v50p 0 0.68846685 0.59762636 0.21902366 0.10342163
v51p 0 0.54961115 0.77788679 0.59139350 0.39206908
v52p 0 0.77709631 0.73406459 0.32397245 0.21299978
v53p 0 1.24435814 0.74575308 0.60402544 0.43400369
v54p 0 1.42474598 0.73363819 0.56579014 0.41165625
v55p 0 0.50953873 0.66682982 0.42076908 0.28227014
v56p 0 0.71016329 0.76818596 0.31164841 0.15077190
v57p 0 0.84890184 0.86804779 0.22931469 0.07721861
v58p 0 0.56104347 0.46562349 0.11482065 0.04435080
v59p 0 0.49197091 0.76182408 0.33929886 0.16214558
v60p 0 1.20302098 0.78524621 0.97504830 0.78933156
v107 0 1.05941076 0.60593519 0.33293932 0.21127956
v108 0 0.75311375 0.51949864 0.19819600 0.08514424
v109 0 2.08786249 0.41657908 0.34731509 0.27275061
v110 0 0.83580188 0.75193130 0.39207383 0.19144544
v111 0 0.52555445 0.58159475 0.24824591 0.12488146
v112 0 0.57070685 0.44732857 0.21670574 0.10555938
v113 0 0.48147922 0.51300948 0.20273016 0.09629286
v114 0 0.36604158 0.58049435 0.12161024 0.02318643
v115 0 0.85066865 0.69532091 0.23960618 0.09541246
v116 0 0.97990826 0.62665893 0.18652735 0.05374028
v117 0 0.67001027 0.54795476 0.47136317 0.34380656
v118 0 1.01144509 0.63461837 0.28825713 0.11489207
v120 0 0.91349750 0.78131699 0.31982444 0.17972163
v121 0 0.54861912 0.68239768 0.22768902 0.08475423
v123 0 0.98039041 0.54058192 0.21001579 0.07861134
v125 0 0.26358845 0.43545803 0.41716458 0.32407342
v127 0 0.55054442 0.44442751 0.47345711 0.32538124
v129 0 0.68492527 0.51015195 0.46677461 0.34294091
v131 0 0.42850439 0.28172253 0.26407081 0.22784845
v133 0 0.39786452 0.42426065 0.37745609 0.24865569
v134 0 0.33733665 0.34175187 0.29831521 0.22971424
v138 0 0.47832293 0.51938155 0.38991573 0.30770273
v140 0 0.35794982 0.38272711 0.23967651 0.15563729
v143 0 0.92188714 0.39928945 0.32210033 0.19868323
v147 0 0.66897989 0.42377547 0.27778417 0.21207753
v149 0 1.27787089 0.44174267 0.41255031 0.33783673
v151 0 0.34506748 0.71091603 0.31478216 0.16676581
v173 1 0.25786728 0.56849053 0.61741336 0.55312619
v177 1 0.39199896 0.44240358 0.40831084 0.35032488
v179 1 0.29073821 0.55881291 0.59470623 0.51567229
v181 1 0.33808676 0.60028455 0.76606393 0.68027152
v183 1 0.51004328 0.60287554 0.55844992 0.45222084
v190 1 0.61141630 0.65442318 0.35094839 0.21912322
v196 1 0.28352533 0.88623886 0.47487024 0.30974363
v198 1 0.28730185 0.68108181 0.80820582 0.71421738
v200 1 0.39076417 0.66002463 0.86220657 0.84951817
v204 1 0.44297396 0.73359893 0.34131402 0.15842639
v206 1 0.26718801 0.66620523 0.48123461 0.34018117
v209 1 0.49479066 0.61924681 0.77866945 0.72329422
v213 1 0.35471004 0.64028594 0.76311626 0.61672144
v215 1 0.29168125 0.56600007 0.86374700 0.69549609
v219 1 0.41858778 0.56464471 0.68085664 0.60144688
v227 1 0.22351051 0.54360426 0.61291718 0.57596694
v231 1 0.36908008 0.58211029 0.77975921 0.76831217
v234 1 0.29282858 0.65143515 0.76119305 0.66017808
v236 1 0.56040985 0.61156433 0.89745314 0.74748832
v238 1 0.27150375 0.60907657 0.74709497 0.67629656
v244 1 0.52403588 0.54652690 0.73802102 0.72075989
v246 1 0.77755572 0.57506984 0.55993086 0.42849825
v250 1 0.38880509 0.63336646 0.87932281 0.89140823
v254 1 0.42537189 0.66682408 0.53434880 0.40113178
v263 1 0.82107224 0.57491608 0.77401464 0.82158015
v265 1 0.57194220 0.68450943 0.66119276 0.58936358
v270 1 0.34942442 0.69466257 0.79498473 0.68148145
v274 1 0.37534445 0.64211614 0.90013644 0.74900663
v279 1 0.34796328 0.58065366 0.80861423 0.77342289
v284 1 0.42015878 0.65348228 0.90463374 0.78799712
v286 1 0.25176454 0.63859973 0.66324375 0.54657256
v288 1 0.63148670 0.63174896 0.87173573 0.80492345
v297 0 0.56870639 0.74939093 0.51173609 0.34891986
